[59723db8] 714d352d | 15:24:15.707 -> 15:24:15.810 | bonjour-eql-request (102ms) | FINISHED | result=success
[35c0a364] a43ae8bb | 15:24:59.277 -> 15:24:59.326 | validate-user (49ms) | FINISHED | validation=success
[35c0a364] 884bd714 | 15:24:59.327 -> 15:24:59.419 | database-query (92ms) | FINISHED | query=SELECT * FROM users WHERE id=123
[35c0a364] c5b2a114 | 15:24:59.276 -> 15:24:59.420 | get-user-request (144ms) | FINISHED | user.id=123
[6b4792fc] 917d7fbc | 15:26:40.883 -> 15:26:40.926 | validate-user (42ms) | FINISHED | validation=success
[6b4792fc] d2b443c3 | 15:26:40.931 -> 15:26:41.010 | database-query (78ms) | FINISHED | query=SELECT * FROM users WHERE id=123
[6b4792fc] 8a6fa30c | 15:26:40.881 -> 15:26:41.011 | get-user-request (129ms) | FINISHED | user.id=123
[e973c758] aef774cb | 15:26:41.349 -> 15:26:41.397 | error-simulation (47ms) | FINISHED | 
[6991f33f] 7b181576 | 15:28:21.893 -> 15:28:22.002 | bonjour-eql-request (109ms) | FINISHED | result=success
[ab1a0899] 17b2c207 | 15:28:22.030 -> 15:28:22.061 | validate-user (31ms) | FINISHED | validation=success
[ab1a0899] bfd5c896 | 15:28:22.063 -> 15:28:22.137 | database-query (74ms) | FINISHED | query=SELECT * FROM users WHERE id=123
[ab1a0899] f275bc91 | 15:28:22.030 -> 15:28:22.138 | get-user-request (108ms) | FINISHED | user.id=123
[9404ef61] 3638794d | 15:28:22.168 -> 15:28:22.277 | data-processing (108ms) | FINISHED | data.size=28
[5269099a] 450ebc15 | 15:28:22.168 -> 15:28:22.277 | process-data (109ms) | FINISHED | result=success
[78e4c129] a0d65980 | 15:28:22.294 -> 15:28:22.306 | error-simulation (12ms) | FINISHED | 
[fa700e6f] b56c5afe | 15:28:22.325 -> 15:28:22.406 | bonjour-eql-request (81ms) | FINISHED | result=success
[354db0f5] b3cfd833 | 15:28:22.423 -> 15:28:22.458 | validate-user (35ms) | FINISHED | validation=success
[354db0f5] 6e034046 | 15:28:22.459 -> 15:28:22.497 | database-query (38ms) | FINISHED | query=SELECT * FROM users WHERE id=user1
[354db0f5] 809dbd49 | 15:28:22.422 -> 15:28:22.498 | get-user-request (75ms) | FINISHED | user.id=user1
[a62b555f] e4d3d46e | 15:28:22.514 -> 15:28:22.546 | error-simulation (32ms) | FINISHED | error=Erreur simulée pour démonstration du tracing
[1c44b4b8] 497f6c9d | 15:28:22.561 -> 15:28:22.610 | error-simulation (49ms) | FINISHED | 
[1c9099a3] 38b38ff3 | 15:28:23.628 -> 15:28:23.714 | bonjour-eql-request (86ms) | FINISHED | result=success
[d7d84276] ea7a2ef7 | 15:28:23.730 -> 15:28:23.765 | validate-user (34ms) | FINISHED | validation=success
[d7d84276] 9bb795f6 | 15:28:23.765 -> 15:28:23.805 | database-query (39ms) | FINISHED | query=SELECT * FROM users WHERE id=user2
[d7d84276] 6b3238ab | 15:28:23.730 -> 15:28:23.805 | get-user-request (75ms) | FINISHED | user.id=user2
[eb440ff0] 771eb752 | 15:28:23.822 -> 15:28:23.855 | error-simulation (32ms) | FINISHED | 
[7b38f2c2] 11247288 | 15:28:24.872 -> 15:28:25.030 | bonjour-eql-request (158ms) | FINISHED | result=success
[1e822370] 8005e2d1 | 15:28:25.047 -> 15:28:25.069 | validate-user (22ms) | FINISHED | validation=success
[1e822370] 00e7586b | 15:28:25.070 -> 15:28:25.132 | database-query (62ms) | FINISHED | query=SELECT * FROM users WHERE id=user3
[1e822370] d2099d15 | 15:28:25.047 -> 15:28:25.133 | get-user-request (86ms) | FINISHED | user.id=user3
[813a3a71] 90d80faf | 15:28:25.151 -> 15:28:25.191 | error-simulation (40ms) | FINISHED | 
[7fd8ecea] 0b758f7c | 15:31:45.338 -> 15:31:45.356 | error-simulation (17ms) | FINISHED | 
